,year,state,state_po_Rep,candidate_Rep,party_Rep,candidatevotes_Rep,state_po_Dem,candidate_Dem,party_Dem,candidatevotes_Dem,totalvotes,Place Name,Latitude,Longitude
40,2016,Pennsylvania,PA,"Trump, Donald J.",republican,2970733,PA,"Clinton, Hillary",democrat,2926441,6115402,"Pennsylvania, USA",41.203323,-77.19452700000001
41,2016,Rhode Island,RI,"Trump, Donald J.",republican,180543,RI,"Clinton, Hillary",democrat,252525,464144,"Rhode Island, the US",41.700001,-71.5
42,2016,South Carolina,SC,"Trump, Donald J.",republican,1155389,SC,"Clinton, Hillary",democrat,855373,2103027,"South Carolina, USA",33.836082,-81.16372700000001
43,2016,South Dakota,SD,"Trump, Donald J.",republican,227721,SD,"Clinton, Hillary",democrat,117458,370093,"South Dakota, the US",44.5,-100.0
44,2016,Tennessee,TN,"Trump, Donald J.",republican,1522925,TN,"Clinton, Hillary",democrat,870695,2508027,"Tennessee, USA",35.860119,-86.660156
45,2016,Texas,TX,"Trump, Donald J.",republican,4685047,TX,"Clinton, Hillary",democrat,3877868,8969226,"Texas, the USA",31.0,-100.0
46,2016,Utah,UT,"Trump, Donald J.",republican,515211,UT,"Clinton, Hillary",democrat,310674,1131317,"Utah, USA",39.41922,-111.95068400000001
47,2016,Vermont,VT,"Trump, Donald J.",republican,95369,VT,"Clinton, Hillary",democrat,178573,320467,"Vermont, the USA",44.0,-72.699997
48,2016,Virginia,VA,"Trump, Donald J.",republican,1769443,VA,"Clinton, Hillary",democrat,1981473,3982752,"Virginia, USA",37.926868,-78.024902
49,2016,Washington,WA,"Trump, Donald J.",republican,1221747,WA,"Clinton, Hillary",democrat,1742718,3317019,"Washington State, the USA",47.751076,-120.74013500000001
50,2016,West Virginia,WV,"Trump, Donald J.",republican,489371,WV,"Clinton, Hillary",democrat,188794,713051,"West Virginia, the US",39.0,-80.5
51,2016,Wisconsin,WI,"Trump, Donald J.",republican,1405284,WI,"Clinton, Hillary",democrat,1382536,2976150,"Wisconsin, the USA",44.5,-89.5
52,2016,Wyoming,WY,"Trump, Donald J.",republican,174419,WY,"Clinton, Hillary",democrat,55973,258788,"Wyoming, USA",43.07597,-107.290283
