,year,state,state_po_Rep,candidate_Rep,party_Rep,candidatevotes_Rep,state_po_Dem,candidate_Dem,party_Dem,candidatevotes_Dem,totalvotes
0,2012,Alabama,AL,"Romney, Mitt",republican,1255925,AL,"Obama, Barack H.",democrat,795696,2074338
1,2012,Alaska,AK,"Romney, Mitt",republican,164676,AK,"Obama, Barack H.",democrat,122640,300495
2,2012,Arizona,AZ,"Romney, Mitt",republican,1233654,AZ,"Obama, Barack H.",democrat,1025232,2299254
3,2012,Arkansas,AR,"Romney, Mitt",republican,647744,AR,"Obama, Barack H.",democrat,394409,1069468
4,2012,California,CA,"Romney, Mitt",republican,4839958,CA,"Obama, Barack H.",democrat,7854285,13038547
5,2012,Colorado,CO,"Romney, Mitt",republican,1185243,CO,"Obama, Barack H.",democrat,1323101,2569516
6,2012,Connecticut,CT,"Romney, Mitt",republican,634892,CT,"Obama, Barack H.",democrat,905083,1558204
7,2012,Delaware,DE,"Romney, Mitt",republican,165484,DE,"Obama, Barack H.",democrat,242584,413890
8,2012,District of Columbia,DC,"Romney, Mitt",republican,21381,DC,"Obama, Barack H.",democrat,267070,293764
9,2012,Florida,FL,"Romney, Mitt",republican,4163447,FL,"Obama, Barack H.",democrat,4237756,8474179
10,2012,Georgia,GA,"Romney, Mitt",republican,2078688,GA,"Obama, Barack H.",democrat,1773827,3897839
11,2012,Hawaii,HI,"Romney, Mitt",republican,121015,HI,"Obama, Barack H.",democrat,306658,437159
12,2012,Idaho,ID,"Romney, Mitt",republican,420911,ID,"Obama, Barack H.",democrat,212787,652274
13,2012,Illinois,IL,"Romney, Mitt",republican,2135216,IL,"Obama, Barack H.",democrat,3019512,5242014
14,2012,Indiana,IN,"Romney, Mitt",republican,1420543,IN,"Obama, Barack H.",democrat,1152887,2624534
15,2012,Iowa,IA,"Romney, Mitt",republican,730617,IA,"Obama, Barack H.",democrat,822544,1582180
16,2012,Kansas,KS,"Romney, Mitt",republican,692634,KS,"Obama, Barack H.",democrat,440726,1159971
17,2012,Kentucky,KY,"Romney, Mitt",republican,1087190,KY,"Obama, Barack H.",democrat,679370,1797212
18,2012,Louisiana,LA,"Romney, Mitt",republican,1152262,LA,"Obama, Barack H.",democrat,809141,1994065
19,2012,Maine,ME,"Romney, Mitt",republican,292276,ME,"Obama, Barack H.",democrat,401306,724758
20,2012,Maryland,MD,"Romney, Mitt",republican,971869,MD,"Obama, Barack H.",democrat,1677844,2707327
21,2012,Massachusetts,MA,"Romney, Mitt",republican,1188314,MA,"Obama, Barack H.",democrat,1921290,3184196
22,2012,Michigan,MI,"Romney, Mitt",republican,2115256,MI,"Obama, Barack H.",democrat,2564569,4730961
23,2012,Mississippi,MS,"Romney, Mitt",republican,710746,MS,"Obama, Barack H.",democrat,562949,1285584
24,2012,Missouri,MO,"Romney, Mitt",republican,1482440,MO,"Obama, Barack H.",democrat,1223796,2757323
25,2012,Montana,MT,"Romney, Mitt",republican,267928,MT,"Obama, Barack H.",democrat,201839,484048
26,2012,Nebraska,NE,"Romney, Mitt",republican,475064,NE,"Obama, Barack H.",democrat,302081,794379
27,2012,Nevada,NV,"Romney, Mitt",republican,463567,NV,"Obama, Barack H.",democrat,531373,1014918
28,2012,New Hampshire,NH,"Romney, Mitt",republican,329918,NH,"Obama, Barack H.",democrat,369561,710972
29,2012,New Jersey,NJ,"Romney, Mitt",republican,1478088,NJ,"Obama, Barack H.",democrat,2122786,3638499
30,2012,New Mexico,NM,"Romney, Mitt",republican,335788,NM,"Obama, Barack H.",democrat,415335,783758
31,2012,New York,NY,"Romney, Mitt",republican,2223397,NY,"Obama, Barack H.",democrat,4324228,7116784
32,2012,North Carolina,NC,"Romney, Mitt",republican,2270395,NC,"Obama, Barack H.",democrat,2178391,4505372
33,2012,North Dakota,ND,"Romney, Mitt",republican,188320,ND,"Obama, Barack H.",democrat,124966,322932
34,2012,Ohio,OH,"Romney, Mitt",republican,2661407,OH,"Obama, Barack H.",democrat,2827621,5580822
35,2012,Oklahoma,OK,"Romney, Mitt",republican,891325,OK,"Obama, Barack H.",democrat,443547,1334872
36,2012,Oregon,OR,"Romney, Mitt",republican,754175,OR,"Obama, Barack H.",democrat,970488,1789270
37,2012,Pennsylvania,PA,"Romney, Mitt",republican,2680434,PA,"Obama, Barack H.",democrat,2990274,5742040
38,2012,Rhode Island,RI,"Romney, Mitt",republican,157204,RI,"Obama, Barack H.",democrat,279677,446049
39,2012,South Carolina,SC,"Romney, Mitt",republican,1071645,SC,"Obama, Barack H.",democrat,865941,1964118
40,2012,South Dakota,SD,"Romney, Mitt",republican,210610,SD,"Obama, Barack H.",democrat,145039,363815
41,2012,Tennessee,TN,"Romney, Mitt",republican,1462330,TN,"Obama, Barack H.",democrat,960709,2458577
42,2012,Texas,TX,"Romney, Mitt",republican,4569843,TX,"Obama, Barack H.",democrat,3308124,7993851
43,2012,Utah,UT,"Romney, Mitt",republican,740600,UT,"Obama, Barack H.",democrat,251813,1017440
44,2012,Vermont,VT,"Romney, Mitt",republican,92698,VT,"Obama, Barack H.",democrat,199239,299290
45,2012,Virginia,VA,"Romney, Mitt",republican,1822522,VA,"Obama, Barack H.",democrat,1971820,3854489
46,2012,Washington,WA,"Mitt, Romney",republican,1290670,WA,"Obama, Barack H.",democrat,1755396,3125516
47,2012,West Virginia,WV,"Romney, Mitt",republican,417655,WV,"Obama, Barack H.",democrat,238269,670438
48,2012,Wisconsin,WI,"Romney, Mitt",republican,1410966,WI,"Obama, Barack H.",democrat,1620985,3071434
49,2012,Wyoming,WY,"Romney, Mitt",republican,170962,WY,"Obama, Barack H.",democrat,69286,250701
