,year,state,state_po_Rep,candidate_Rep,party_Rep,candidatevotes_Rep,state_po_Dem,candidate_Dem,party_Dem,candidatevotes_Dem,totalvotes,Place Name,Latitude,Longitude
0,2012,Alabama,AL,"Romney, Mitt",republican,1255925,AL,"Obama, Barack H.",democrat,795696,2074338,"Alabama, USA",32.31823,-86.902298
1,2012,Alaska,AK,"Romney, Mitt",republican,164676,AK,"Obama, Barack H.",democrat,122640,300495,"Alaska, USA",66.160507,-153.36914099999998
2,2012,Arizona,AZ,"Romney, Mitt",republican,1233654,AZ,"Obama, Barack H.",democrat,1025232,2299254,"Arizona, USA",34.048927,-111.09373500000001
3,2012,Arkansas,AR,"Romney, Mitt",republican,647744,AR,"Obama, Barack H.",democrat,394409,1069468,"Arkansas, the US",34.799999,-92.199997
4,2012,California,CA,"Romney, Mitt",republican,4839958,CA,"Obama, Barack H.",democrat,7854285,13038547,"California, the USA",36.778259000000006,-119.41793100000001
5,2012,Colorado,CO,"Romney, Mitt",republican,1185243,CO,"Obama, Barack H.",democrat,1323101,2569516,"Colorado, USA",39.113014,-105.35888700000001
6,2012,Connecticut,CT,"Romney, Mitt",republican,634892,CT,"Obama, Barack H.",democrat,905083,1558204,"Connecticut, the US",41.599998,-72.699997
7,2012,Delaware,DE,"Romney, Mitt",republican,165484,DE,"Obama, Barack H.",democrat,242584,413890,"Delaware, the US",39.0,-75.5
8,2012,Florida,FL,"Romney, Mitt",republican,4163447,FL,"Obama, Barack H.",democrat,4237756,8474179,"Florida, USA",27.994402,-81.760254
9,2012,Georgia,GA,"Romney, Mitt",republican,2078688,GA,"Obama, Barack H.",democrat,1773827,3897839,"Georgia, the USA",33.247875,-83.441162
10,2012,Hawaii,HI,"Romney, Mitt",republican,121015,HI,"Obama, Barack H.",democrat,306658,437159,"Hawaii, USA",19.741754999999998,-155.844437
11,2012,Idaho,ID,"Romney, Mitt",republican,420911,ID,"Obama, Barack H.",democrat,212787,652274,"Idaho, USA",44.068203000000004,-114.742043
12,2012,Illinois,IL,"Romney, Mitt",republican,2135216,IL,"Obama, Barack H.",democrat,3019512,5242014,"Illinois, the US",40.0,-89.0
13,2012,Indiana,IN,"Romney, Mitt",republican,1420543,IN,"Obama, Barack H.",democrat,1152887,2624534,"Indiana, USA",40.273502,-86.126976
14,2012,Iowa,IA,"Romney, Mitt",republican,730617,IA,"Obama, Barack H.",democrat,822544,1582180,"Iowa, the USA",42.032973999999996,-93.58154300000001
